,LUCA,Aves,Passeriformes,Tyrannidae,cell_ids,Dist.to.road_m,Elevation_m,MaxTemp_m,MeanTemp_m,MinTemp_m,Population_m,Precipitation_m,SolarRadiation_m,VaporPres_m,WindSp_m,Longitude,Latitude,wwf_mhtnum,wwf_mhtnam,covid,name,cov_id,tipos,geometry
0,1.0,1.0,1.0,1.0,238478,1972.68283081,3.0,28.4661110878,24.2555555556,20.0599999534,37.5467600822,127.438888889,17104.4944444,2.55383333166,3.15111112595,-96.9774109841,20.4322927717,14.0,Mangroves,87928,MANGLAR,8891.0,Vegetacion Acuatica,POINT (-96.9774109841 20.4322927717)
1,0.0,0.0,0.0,0.0,246333,3127.06719238,2281.33333333,23.7541667091,16.1847222487,8.61444444259,71.6443845749,86.0972222222,17713.0305556,1.09527777682,2.08333331744,-98.631563416,18.870389801,3.0,Tropical and Subtropical Coniferous Forests,90047,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE PINO,8684.0,Agricultura de Temporal,POINT (-98.63156341600001 18.870389801)
2,1.0,0.0,0.0,0.0,242642,5363.85358887,2484.55555556,22.8141203192,14.67870369,6.5446759363,48.7465698984,48.0185185185,18316.3217593,1.00185185422,2.31481480598,-98.778563416,19.605389801,13.0,Deserts and Xeric Shrublands,25923,MATORRAL CRASICAULE,9815.0,Matorral Crasicaule,POINT (-98.778563416 19.605389801)
3,1.0,1.0,1.0,1.0,239726,1517.06944136,4.11111111111,28.7522727311,24.3542928985,19.9522725741,91.294216445,140.866161616,16840.8939394,2.55590909719,3.19368687964,-96.7709687192,20.1919661213,1.0,Tropical and Subtropical Moist Broadleaf Forests,41889,PASTIZAL CULTIVADO,8875.0,Pastizal Cultivado,POINT (-96.7709687192 20.1919661213)
4,1.0,0.0,0.0,0.0,239450,881.945092773,2139.33333333,23.4077778021,15.6191667504,7.82944445213,114.028204091,58.0027777778,18208.3083333,1.17519443747,2.01361109515,-98.337563416,20.242389801,13.0,Deserts and Xeric Shrublands,63140,AGRICULTURA DE RIEGO ANUAL Y SEMIPERMANENTE,8684.0,Agricultura de Temporal,POINT (-98.33756341599999 20.242389801)
5,1.0,0.0,0.0,0.0,252662,3723.11964355,1819.0,28.1284721781,20.6240741103,13.1173611283,30.7163678275,50.2361111111,17174.1990741,1.32013888795,2.02152776221,-97.700563416,17.792389801,3.0,Tropical and Subtropical Coniferous Forests,47358,PASTIZAL INDUCIDO,11153.0,Bosque de Encino,POINT (-97.70056341599999 17.792389801)
6,0.0,0.0,0.0,0.0,247399,2251.11057943,18.6666666667,31.1034723476,25.6752316069,20.247222141,34.1266860432,118.946759259,15960.8194444,2.53374994243,2.73796298382,-96.132563416,18.674389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,40453,PASTIZAL CULTIVADO,10605.0,Pastizal Cultivado,POINT (-96.132563416 18.674389801)
7,0.0,0.0,0.0,0.0,249984,2480.15826009,932.666666667,33.2296296535,25.0048611297,16.7807871015,4.07019558218,69.224537037,17968.5092593,1.83275463018,1.52499998471,-98.778563416,18.233389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,69267,AGRICULTURA DE TEMPORAL ANUAL,10536.0,Selva Baja Caducifolia,POINT (-98.778563416 18.233389801)
8,1.0,1.0,0.0,0.0,243177,3927.51490723,911.222222222,26.0057870017,21.3071759409,16.6145833687,77.4361040327,109.453703704,16089.6388889,1.93631945109,1.92361107441,-96.769563416,19.507389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,41275,PASTIZAL CULTIVADO,9892.0,Bosque de Encino,POINT (-96.769563416 19.507389801)
9,1.0,1.0,1.0,0.0,243130,2459.56030762,2243.66666667,24.1780092584,16.8141203192,9.45115740652,14360.2918294,50.2060185185,18207.3101852,1.09291666622,2.14513887244,-99.072563416,19.507389801,13.0,Deserts and Xeric Shrublands,119395,ZONA URBANA,9776.0,Zona Urbana,POINT (-99.07256341599999 19.507389801)
